ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Damage Cost,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
8137536,HT371329,6/29/2011 0:08,038XX W FLOURNOY ST,041A,BATTERY,AGGRAVATED: HANDGUN,RESIDENTIAL YARD (FRONT/BACK),4277,FALSE,FALSE,1133,11,24,26,04B,1150802,1896712,2011,ERROR,41.87247179,-87.72180875,"(41.872471787, -87.721808751)"
7387445,HS189260,1/24/2010 20:37,016XX W 32ND ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,3922,FALSE,FALSE,922,9,11,59,26,1166016,1883413,2010,5/3/2010 8:02,41.83566709,-87.66633069,"(41.835667093, -87.666330688)"
1834918,G668790,11/5/2001 19:00,015XX N SPRINGFIELD AV,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,3471,FALSE,FALSE,2535,NA,NA,NA,7,1150124,1910319,2001,ERROR,41.90982405,-87.72394321,"(41.909824052, -87.723943209)"
6824043,HR227480,3/21/2009 10:35,124XX S EMERALD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,896,FALSE,FALSE,523,5,34,53,14,1173548,1822149,2009,ERROR,41.66738714,-87.64050361,"(41.667387143, -87.640503609)"
3334126,HK375058,5/18/2004 19:25,018XX W FARWELL AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,1815,FALSE,FALSE,2424,24,49,1,26,1162731,1945686,2004,ERROR,42.00661768,-87.67663462,"(42.00661768, -87.676634619)"
4991479,HM599065,9/13/2006 14:20,004XX N STATE ST,460,BATTERY,SIMPLE,RESTAURANT,4867,TRUE,FALSE,1831,18,42,8,08B,1176246,1903580,2006,ERROR,41.89078255,-87.62818588,"(41.890782553, -87.628185879)"
4779523,HM394310,6/2/2006 15:30,042XX N CICERO AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,2942,FALSE,FALSE,1624,16,45,15,14,1143559,1928046,2006,7/6/2006 4:08,41.9585941,-87.74761565,"(41.958594104, -87.747615647)"
7209980,HR625015,11/4/2009 0:05,012XX W DIVISION ST,2022,NARCOTICS,POSS: COCAINE,STREET,851,TRUE,FALSE,1323,12,27,24,18,1168223,1908112,2009,4/11/2009 1:46,41.90339581,-87.65751898,"(41.903395808, -87.657518982)"
4855527,HM466819,7/6/2006 21:00,055XX N CLARK ST,890,THEFT,FROM BUILDING,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,3503,FALSE,FALSE,2012,20,40,77,6,1164942,1936997,2006,ERROR,41.98272801,-87.66874815,"(41.982728013, -87.668748145)"
5216189,HN101090,1/1/2007 14:47,002XX E 136TH ST,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,4188,FALSE,FALSE,533,5,9,54,5,1180454,1815072,2007,ERROR,41.64781161,-87.61544527,"(41.647811613, -87.615445268)"
